PM2.5,PM10,NO,NO2,NOx,NH3,CO,O3,AQI
'\'(19.335-38.63]\'','\'(46.91-70.36]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',69
'\'(19.335-38.63]\'','\'(46.91-70.36]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',73
'\'(-inf-19.335]\'','\'(23.46-46.91]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',66
'\'(-inf-19.335]\'','\'(23.46-46.91]\'','\'(-inf-5.179]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',48
'\'(-inf-19.335]\'','\'(23.46-46.91]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',64
'\'(-inf-19.335]\'','\'(23.46-46.91]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(5.786-11.562]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',57
'\'(-inf-19.335]\'','\'(23.46-46.91]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(5.786-11.562]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',56
'\'(19.335-38.63]\'','\'(46.91-70.36]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',60
'\'(19.335-38.63]\'','\'(46.91-70.36]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',64
'\'(19.335-38.63]\'','\'(46.91-70.36]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',62
'\'(19.335-38.63]\'','\'(46.91-70.36]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(9.999-19.998]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',55
'\'(19.335-38.63]\'','\'(46.91-70.36]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(5.786-11.562]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',62
'\'(-inf-19.335]\'','\'(46.91-70.36]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',64
'\'(19.335-38.63]\'','\'(46.91-70.36]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',58
'\'(19.335-38.63]\'','\'(46.91-70.36]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',58
'\'(19.335-38.63]\'','\'(46.91-70.36]\'','\'(-inf-5.179]\'','\'(19.626-29.434]\'','\'(9.999-19.998]\'','\'(5.786-11.562]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',61
'\'(-inf-19.335]\'','\'(46.91-70.36]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(10.858-21.706]\'',59
'\'(-inf-19.335]\'','\'(23.46-46.91]\'','\'(5.179-10.338]\'','\'(9.818-19.626]\'','\'(19.998-29.997]\'','\'(5.786-11.562]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',56
'\'(-inf-19.335]\'','\'(23.46-46.91]\'','\'(5.179-10.338]\'','\'(9.818-19.626]\'','\'(19.998-29.997]\'','\'(5.786-11.562]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',60
'\'(-inf-19.335]\'','\'(23.46-46.91]\'','\'(5.179-10.338]\'','\'(9.818-19.626]\'','\'(19.998-29.997]\'','\'(5.786-11.562]\'','\'(0.522-1.044]\'','\'(10.858-21.706]\'',53
'\'(-inf-19.335]\'','\'(23.46-46.91]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(10.858-21.706]\'',48
'\'(-inf-19.335]\'','\'(23.46-46.91]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(10.858-21.706]\'',57
'\'(-inf-19.335]\'','\'(23.46-46.91]\'','\'(5.179-10.338]\'','\'(9.818-19.626]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(10.858-21.706]\'',53
'\'(-inf-19.335]\'','\'(23.46-46.91]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(10.858-21.706]\'',55
'\'(-inf-19.335]\'','\'(23.46-46.91]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(10.858-21.706]\'',49
'\'(-inf-19.335]\'','\'(23.46-46.91]\'','\'(5.179-10.338]\'','\'(9.818-19.626]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(10.858-21.706]\'',50
'\'(-inf-19.335]\'','\'(23.46-46.91]\'','\'(10.338-15.497]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(10.858-21.706]\'',52
'\'(19.335-38.63]\'','\'(23.46-46.91]\'','\'(10.338-15.497]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(10.858-21.706]\'',68
'\'(19.335-38.63]\'','\'(23.46-46.91]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',70
'\'(-inf-19.335]\'','\'(23.46-46.91]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',59
'\'(-inf-19.335]\'','\'(23.46-46.91]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(10.858-21.706]\'',51
'\'(19.335-38.63]\'','\'(46.91-70.36]\'','\'(10.338-15.497]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(10.858-21.706]\'',61
'\'(19.335-38.63]\'','\'(46.91-70.36]\'','\'(10.338-15.497]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(10.858-21.706]\'',67
'\'(19.335-38.63]\'','\'(46.91-70.36]\'','\'(10.338-15.497]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(10.858-21.706]\'',65
'\'(-inf-19.335]\'','\'(46.91-70.36]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(10.858-21.706]\'',74
'\'(-inf-19.335]\'','\'(23.46-46.91]\'','\'(10.338-15.497]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(1.044-1.566]\'','\'(10.858-21.706]\'',73
'\'(-inf-19.335]\'','\'(46.91-70.36]\'','\'(5.179-10.338]\'','\'(9.818-19.626]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(10.858-21.706]\'',68
'\'(-inf-19.335]\'','\'(23.46-46.91]\'','\'(5.179-10.338]\'','\'(9.818-19.626]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(10.858-21.706]\'',65
'\'(-inf-19.335]\'','\'(46.91-70.36]\'','\'(5.179-10.338]\'','\'(9.818-19.626]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(10.858-21.706]\'',57
'\'(-inf-19.335]\'','\'(46.91-70.36]\'','\'(5.179-10.338]\'','\'(9.818-19.626]\'','\'(9.999-19.998]\'','\'(5.786-11.562]\'','\'(0.522-1.044]\'','\'(10.858-21.706]\'',68
'\'(-inf-19.335]\'','\'(46.91-70.36]\'','\'(5.179-10.338]\'','\'(9.818-19.626]\'','\'(9.999-19.998]\'','\'(5.786-11.562]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',63
'\'(-inf-19.335]\'','\'(46.91-70.36]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',61
'\'(-inf-19.335]\'','\'(23.46-46.91]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',52
'\'(-inf-19.335]\'','\'(23.46-46.91]\'','\'(-inf-5.179]\'','\'(9.818-19.626]\'','\'(9.999-19.998]\'','\'(5.786-11.562]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',49
'\'(-inf-19.335]\'','\'(46.91-70.36]\'','\'(5.179-10.338]\'','\'(9.818-19.626]\'','\'(9.999-19.998]\'','\'(5.786-11.562]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',53
'\'(19.335-38.63]\'','\'(46.91-70.36]\'','\'(5.179-10.338]\'','\'(9.818-19.626]\'','\'(19.998-29.997]\'','\'(5.786-11.562]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',63
'\'(-inf-19.335]\'','\'(46.91-70.36]\'','\'(5.179-10.338]\'','\'(9.818-19.626]\'','\'(9.999-19.998]\'','\'(5.786-11.562]\'','\'(0.522-1.044]\'','\'(10.858-21.706]\'',61
'\'(-inf-19.335]\'','\'(23.46-46.91]\'','\'(-inf-5.179]\'','\'(9.818-19.626]\'','\'(9.999-19.998]\'','\'(5.786-11.562]\'','\'(0.522-1.044]\'','\'(10.858-21.706]\'',48
'\'(-inf-19.335]\'','\'(23.46-46.91]\'','\'(5.179-10.338]\'','\'(9.818-19.626]\'','\'(9.999-19.998]\'','\'(5.786-11.562]\'','\'(0.522-1.044]\'','\'(10.858-21.706]\'',51
'\'(-inf-19.335]\'','\'(23.46-46.91]\'','\'(5.179-10.338]\'','\'(9.818-19.626]\'','\'(9.999-19.998]\'','\'(5.786-11.562]\'','\'(0.522-1.044]\'','\'(10.858-21.706]\'',51
'\'(-inf-19.335]\'','\'(23.46-46.91]\'','\'(5.179-10.338]\'','\'(9.818-19.626]\'','\'(19.998-29.997]\'','\'(5.786-11.562]\'','\'(0.522-1.044]\'','\'(10.858-21.706]\'',56
'\'(-inf-19.335]\'','\'(23.46-46.91]\'','\'(5.179-10.338]\'','\'(9.818-19.626]\'','\'(19.998-29.997]\'','\'(5.786-11.562]\'','\'(0.522-1.044]\'','\'(10.858-21.706]\'',64
'\'(19.335-38.63]\'','\'(23.46-46.91]\'','\'(5.179-10.338]\'','\'(9.818-19.626]\'','\'(9.999-19.998]\'','\'(5.786-11.562]\'','\'(0.522-1.044]\'','\'(10.858-21.706]\'',63
'\'(-inf-19.335]\'','\'(23.46-46.91]\'','\'(5.179-10.338]\'','\'(9.818-19.626]\'','\'(9.999-19.998]\'','\'(5.786-11.562]\'','\'(0.522-1.044]\'','\'(10.858-21.706]\'',62
'\'(-inf-19.335]\'','\'(46.91-70.36]\'','\'(5.179-10.338]\'','\'(9.818-19.626]\'','\'(9.999-19.998]\'','\'(5.786-11.562]\'','\'(0.522-1.044]\'','\'(10.858-21.706]\'',63
'\'(19.335-38.63]\'','\'(46.91-70.36]\'','\'(5.179-10.338]\'','\'(9.818-19.626]\'','\'(9.999-19.998]\'','\'(5.786-11.562]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',67
'\'(19.335-38.63]\'','\'(46.91-70.36]\'','\'(5.179-10.338]\'','\'(9.818-19.626]\'','\'(9.999-19.998]\'','\'(5.786-11.562]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',62
'\'(19.335-38.63]\'','\'(46.91-70.36]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',68
'\'(19.335-38.63]\'','\'(46.91-70.36]\'','\'(10.338-15.497]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',67
'\'(19.335-38.63]\'','\'(46.91-70.36]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(5.786-11.562]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',70
'\'(19.335-38.63]\'','\'(46.91-70.36]\'','\'(5.179-10.338]\'','\'(9.818-19.626]\'','\'(9.999-19.998]\'','\'(5.786-11.562]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',69
'\'(38.63-57.925]\'','\'(23.46-46.91]\'','\'(5.179-10.338]\'','\'(9.818-19.626]\'','\'(19.998-29.997]\'','\'(5.786-11.562]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',67
'\'(57.925-77.22]\'','\'(23.46-46.91]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',120
'\'(19.335-38.63]\'','\'(46.91-70.36]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',92
'\'(19.335-38.63]\'','\'(46.91-70.36]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',82
'\'(-inf-19.335]\'','\'(46.91-70.36]\'','\'(10.338-15.497]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(17.338-23.114]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',67
'\'(19.335-38.63]\'','\'(46.91-70.36]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',74
'\'(-inf-19.335]\'','\'(46.91-70.36]\'','\'(10.338-15.497]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',81
'\'(19.335-38.63]\'','\'(46.91-70.36]\'','\'(15.497-20.656]\'','\'(29.434-39.242]\'','\'(39.996-49.995]\'','\'(11.562-17.338]\'','\'(1.044-1.566]\'','\'(32.554-43.402]\'',91
'\'(-inf-19.335]\'','\'(23.46-46.91]\'','\'(10.338-15.497]\'','\'(29.434-39.242]\'','\'(29.997-39.996]\'','\'(11.562-17.338]\'','\'(1.044-1.566]\'','\'(32.554-43.402]\'',100
'\'(-inf-19.335]\'','\'(23.46-46.91]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(32.554-43.402]\'',81
'\'(-inf-19.335]\'','\'(23.46-46.91]\'','\'(10.338-15.497]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',64
'\'(19.335-38.63]\'','\'(70.36-93.81]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(32.554-43.402]\'',83
'\'(19.335-38.63]\'','\'(70.36-93.81]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(32.554-43.402]\'',99
'\'(19.335-38.63]\'','\'(70.36-93.81]\'','\'(-inf-5.179]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(32.554-43.402]\'',93
'\'(19.335-38.63]\'','\'(46.91-70.36]\'','\'(5.179-10.338]\'','\'(9.818-19.626]\'','\'(9.999-19.998]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(32.554-43.402]\'',73
'\'(19.335-38.63]\'','\'(46.91-70.36]\'','\'(10.338-15.497]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(32.554-43.402]\'',88
'\'(-inf-19.335]\'','\'(23.46-46.91]\'','\'(10.338-15.497]\'','\'(29.434-39.242]\'','\'(29.997-39.996]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(32.554-43.402]\'',92
'\'(19.335-38.63]\'','\'(46.91-70.36]\'','\'(10.338-15.497]\'','\'(29.434-39.242]\'','\'(29.997-39.996]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(43.402-54.25]\'',95
'\'(38.63-57.925]\'','\'(46.91-70.36]\'','\'(15.497-20.656]\'','\'(39.242-49.05]\'','\'(49.995-59.994]\'','\'(11.562-17.338]\'','\'(1.044-1.566]\'','\'(43.402-54.25]\'',104
'\'(19.335-38.63]\'','\'(70.36-93.81]\'','\'(15.497-20.656]\'','\'(39.242-49.05]\'','\'(49.995-59.994]\'','\'(11.562-17.338]\'','\'(1.044-1.566]\'','\'(21.706-32.554]\'',107
'\'(19.335-38.63]\'','\'(46.91-70.36]\'','\'(10.338-15.497]\'','\'(29.434-39.242]\'','\'(29.997-39.996]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(32.554-43.402]\'',85
'\'(19.335-38.63]\'','\'(46.91-70.36]\'','\'(25.815-30.974]\'','\'(29.434-39.242]\'','\'(39.996-49.995]\'','\'(11.562-17.338]\'','\'(1.044-1.566]\'','\'(32.554-43.402]\'',88
'\'(19.335-38.63]\'','\'(23.46-46.91]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(43.402-54.25]\'',92
'\'(19.335-38.63]\'','\'(23.46-46.91]\'','\'(30.974-36.133]\'','\'(39.242-49.05]\'','\'(49.995-59.994]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(32.554-43.402]\'',89
'\'(57.925-77.22]\'','\'(70.36-93.81]\'','\'(10.338-15.497]\'','\'(29.434-39.242]\'','\'(29.997-39.996]\'','\'(17.338-23.114]\'','\'(0.522-1.044]\'','\'(32.554-43.402]\'',146
'\'(38.63-57.925]\'','\'(70.36-93.81]\'','\'(10.338-15.497]\'','\'(29.434-39.242]\'','\'(29.997-39.996]\'','\'(17.338-23.114]\'','\'(0.522-1.044]\'','\'(32.554-43.402]\'',95
'\'(19.335-38.63]\'','\'(70.36-93.81]\'','\'(10.338-15.497]\'','\'(29.434-39.242]\'','\'(29.997-39.996]\'','\'(17.338-23.114]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',90
'\'(19.335-38.63]\'','\'(23.46-46.91]\'','\'(10.338-15.497]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',72
'\'(19.335-38.63]\'','\'(46.91-70.36]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(17.338-23.114]\'','\'(0.522-1.044]\'','\'(10.858-21.706]\'',73
'\'(19.335-38.63]\'','\'(46.91-70.36]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(17.338-23.114]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',79
'\'(19.335-38.63]\'','\'(46.91-70.36]\'','\'(10.338-15.497]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',71
'\'(-inf-19.335]\'','\'(46.91-70.36]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(10.858-21.706]\'',75
'\'(19.335-38.63]\'','\'(46.91-70.36]\'','\'(10.338-15.497]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',69
'\'(-inf-19.335]\'','\'(23.46-46.91]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(10.858-21.706]\'',71
'\'(-inf-19.335]\'','\'(23.46-46.91]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(-inf-0.522]\'','\'(21.706-32.554]\'',56
'\'(19.335-38.63]\'','\'(23.46-46.91]\'','\'(10.338-15.497]\'','\'(29.434-39.242]\'','\'(29.997-39.996]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',69
'\'(-inf-19.335]\'','\'(23.46-46.91]\'','\'(10.338-15.497]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',69
'\'(-inf-19.335]\'','\'(23.46-46.91]\'','\'(5.179-10.338]\'','\'(9.818-19.626]\'','\'(9.999-19.998]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(10.858-21.706]\'',66
'\'(-inf-19.335]\'','\'(23.46-46.91]\'','\'(-inf-5.179]\'','\'(9.818-19.626]\'','\'(9.999-19.998]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(10.858-21.706]\'',62
'\'(-inf-19.335]\'','\'(23.46-46.91]\'','\'(5.179-10.338]\'','\'(9.818-19.626]\'','\'(9.999-19.998]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(10.858-21.706]\'',65
'\'(-inf-19.335]\'','\'(46.91-70.36]\'','\'(5.179-10.338]\'','\'(9.818-19.626]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(10.858-21.706]\'',59
'\'(38.63-57.925]\'','\'(70.36-93.81]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(10.858-21.706]\'',74
'\'(38.63-57.925]\'','\'(70.36-93.81]\'','\'(10.338-15.497]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(10.858-21.706]\'',88
'\'(19.335-38.63]\'','\'(70.36-93.81]\'','\'(10.338-15.497]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(10.858-21.706]\'',80
'\'(-inf-19.335]\'','\'(23.46-46.91]\'','\'(10.338-15.497]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(21.706-32.554]\'',78
'\'(-inf-19.335]\'','\'(46.91-70.36]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(32.554-43.402]\'',68
'\'(19.335-38.63]\'','\'(70.36-93.81]\'','\'(10.338-15.497]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(32.554-43.402]\'',84
'\'(19.335-38.63]\'','\'(70.36-93.81]\'','\'(10.338-15.497]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(11.562-17.338]\'','\'(1.044-1.566]\'','\'(21.706-32.554]\'',77
'\'(38.63-57.925]\'','\'(70.36-93.81]\'','\'(10.338-15.497]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(17.338-23.114]\'','\'(0.522-1.044]\'','\'(32.554-43.402]\'',89
'\'(38.63-57.925]\'','\'(93.81-117.26]\'','\'(20.656-25.815]\'','\'(29.434-39.242]\'','\'(39.996-49.995]\'','\'(17.338-23.114]\'','\'(1.044-1.566]\'','\'(32.554-43.402]\'',95
'\'(57.925-77.22]\'','\'(140.71-164.16]\'','\'(30.974-36.133]\'','\'(39.242-49.05]\'','\'(59.994-69.993]\'','\'(17.338-23.114]\'','\'(1.044-1.566]\'','\'(32.554-43.402]\'',139
'\'(77.22-96.515]\'','\'(140.71-164.16]\'','\'(25.815-30.974]\'','\'(29.434-39.242]\'','\'(49.995-59.994]\'','\'(17.338-23.114]\'','\'(1.044-1.566]\'','\'(54.25-65.098]\'',169
'\'(77.22-96.515]\'','\'(117.26-140.71]\'','\'(25.815-30.974]\'','\'(39.242-49.05]\'','\'(59.994-69.993]\'','\'(17.338-23.114]\'','\'(1.044-1.566]\'','\'(43.402-54.25]\'',174
'\'(57.925-77.22]\'','\'(93.81-117.26]\'','\'(15.497-20.656]\'','\'(29.434-39.242]\'','\'(39.996-49.995]\'','\'(17.338-23.114]\'','\'(1.044-1.566]\'','\'(32.554-43.402]\'',159
'\'(38.63-57.925]\'','\'(93.81-117.26]\'','\'(10.338-15.497]\'','\'(29.434-39.242]\'','\'(39.996-49.995]\'','\'(17.338-23.114]\'','\'(1.044-1.566]\'','\'(32.554-43.402]\'',116
'\'(38.63-57.925]\'','\'(93.81-117.26]\'','\'(10.338-15.497]\'','\'(29.434-39.242]\'','\'(29.997-39.996]\'','\'(17.338-23.114]\'','\'(0.522-1.044]\'','\'(32.554-43.402]\'',96
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(5.179-10.338]\'','\'(29.434-39.242]\'','\'(29.997-39.996]\'','\'(17.338-23.114]\'','\'(0.522-1.044]\'','\'(54.25-65.098]\'',124
'\'(19.335-38.63]\'','\'(46.91-70.36]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(43.402-54.25]\'',96
'\'(19.335-38.63]\'','\'(70.36-93.81]\'','\'(10.338-15.497]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(11.562-17.338]\'','\'(0.522-1.044]\'','\'(43.402-54.25]\'',83
'\'(19.335-38.63]\'','\'(46.91-70.36]\'','\'(10.338-15.497]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(17.338-23.114]\'','\'(0.522-1.044]\'','\'(32.554-43.402]\'',80
